Temp,Hum,Datetime
22.0,20.0,2022-09-14 19:32:47
22.0,20.0,2022-09-14 19:37:54
22.0,26.0,2022-09-14 19:43:01
22.0,26.0,2022-09-14 19:48:08
22.0,20.0,2022-09-14 19:53:15
22.0,23.0,2022-09-14 19:58:15
22.0,20.0,2022-09-14 20:03:16
22.0,23.0,2022-09-14 20:08:17
21.0,20.0,2022-09-14 20:13:17
21.0,21.0,2022-09-14 20:18:24
21.0,20.0,2022-09-14 20:23:19
21.0,20.0,2022-09-14 20:28:19
21.0,20.0,2022-09-14 20:33:26
21.0,20.0,2022-09-14 20:38:20
21.0,20.0,2022-09-14 20:43:27
21.0,20.0,2022-09-14 20:48:22
21.0,21.0,2022-09-14 20:53:22
21.0,26.0,2022-09-14 20:58:25
21.0,20.0,2022-09-14 21:03:32
21.0,21.0,2022-09-14 21:08:23
21.0,20.0,2022-09-14 21:13:30
21.0,21.0,2022-09-14 21:18:30
21.0,22.0,2022-09-14 21:23:31
21.0,20.0,2022-09-14 21:28:31
20.0,21.0,2022-09-14 21:33:38
21.0,20.0,2022-09-14 21:38:26
20.0,21.0,2022-09-14 21:43:33
20.0,21.0,2022-09-14 21:48:34
20.0,21.0,2022-09-14 21:53:41
20.0,21.0,2022-09-14 21:58:29
20.0,21.0,2022-09-14 22:03:36
20.0,21.0,2022-09-14 22:08:36
20.0,21.0,2022-09-14 22:13:43
20.0,21.0,2022-09-14 22:18:40
20.0,27.0,2022-09-14 22:23:41
21.0,20.0,2022-09-14 22:28:42
20.0,27.0,2022-09-14 22:33:42
20.0,22.0,2022-09-14 22:38:43
20.0,27.0,2022-09-14 22:43:43
20.0,22.0,2022-09-14 22:48:44
20.0,22.0,2022-09-14 22:53:45
20.0,21.0,2022-09-14 22:58:45
20.0,21.0,2022-09-14 23:03:46
22.0,23.0,2022-09-14 23:08:46
19.0,24.0,2022-09-14 23:38:29
19.0,21.0,2022-09-14 23:43:29
19.0,22.0,2022-09-14 23:48:40
9.0,21.5,2022-09-14 23:53:41
19.0,21.0,2022-09-14 23:58:41
19.0,22.0,2022-09-15 00:08:50
19.0,21.0,2022-09-15 00:13:53
20.0,23.0,2022-09-15 00:18:54
19.0,21.0,2022-09-15 00:23:57
19.0,21.0,2022-09-15 00:28:58
18.0,24.0,2022-09-15 00:33:58
19.0,25.0,2022-09-15 00:38:59
19.0,21.0,2022-09-15 00:43:59
17.0,22.0,2022-09-15 00:49:00
19.0,21.0,2022-09-15 00:54:01
19.0,24.0,2022-09-15 00:59:01
18.0,22.0,2022-09-15 01:04:04
18.0,22.0,2022-09-15 01:09:07
18.0,22.0,2022-09-15 01:14:08
18.0,22.0,2022-09-15 01:19:09
18.0,22.0,2022-09-15 01:24:09
18.0,28.0,2022-09-15 01:29:12
18.0,22.0,2022-09-15 01:34:13
18.0,23.0,2022-09-15 01:39:14
18.0,28.0,2022-09-15 01:44:17
18.0,22.0,2022-09-15 01:49:17
18.0,22.0,2022-09-15 01:54:18
18.0,22.0,2022-09-15 01:59:23
18.0,24.0,2022-09-15 02:04:24
18.0,22.0,2022-09-15 02:09:25
18.0,22.0,2022-09-15 02:14:25
18.0,22.0,2022-09-15 02:19:28
17.0,23.0,2022-09-15 02:24:34
17.0,28.0,2022-09-15 02:29:35
18.0,22.0,2022-09-15 02:34:35
17.0,28.0,2022-09-15 02:39:36
18.0,22.0,2022-09-15 02:44:36
17.0,28.0,2022-09-15 02:49:39
17.0,22.0,2022-09-15 02:54:40
17.0,28.0,2022-09-15 02:59:41
17.0,28.0,2022-09-15 03:04:41
17.0,25.0,2022-09-15 03:09:42
17.0,22.0,2022-09-15 03:14:42
17.0,22.0,2022-09-15 03:19:43
17.0,22.0,2022-09-15 03:24:46
17.0,28.0,2022-09-15 03:29:47
17.0,22.0,2022-09-15 03:34:47
17.0,22.0,2022-09-15 03:39:48
17.0,22.0,2022-09-15 03:44:51
17.0,22.0,2022-09-15 03:49:52
17.0,22.0,2022-09-15 03:54:52
17.0,27.0,2022-09-15 03:59:53
17.0,22.0,2022-09-15 04:04:53
16.0,26.0,2022-09-15 04:09:54
17.0,23.0,2022-09-15 04:14:55
15.0,23.0,2022-09-15 04:19:55
16.0,29.0,2022-09-15 04:24:56
16.0,26.0,2022-09-15 04:29:56
16.0,27.0,2022-09-15 04:35:00
16.0,23.0,2022-09-15 04:40:00
16.0,29.0,2022-09-15 04:45:01
17.0,22.0,2022-09-15 04:50:04
16.0,24.0,2022-09-15 04:55:04
16.0,23.0,2022-09-15 05:00:08
16.0,30.0,2022-09-15 05:05:08
16.0,23.0,2022-09-15 05:10:09
16.0,25.0,2022-09-15 05:15:09
16.0,23.0,2022-09-15 05:20:10
16.0,24.0,2022-09-15 05:25:11
16.0,23.0,2022-09-15 05:30:11
16.0,23.0,2022-09-15 05:35:12
16.0,24.0,2022-09-15 05:40:12
16.0,23.0,2022-09-15 05:45:13
16.0,24.0,2022-09-15 05:50:14
16.0,24.0,2022-09-15 05:55:19
15.0,26.0,2022-09-15 06:00:22
16.0,24.0,2022-09-15 06:05:23
15.0,30.0,2022-09-15 06:15:24
15.0,28.0,2022-09-15 06:20:27
15.0,24.0,2022-09-15 06:25:28
15.0,26.0,2022-09-15 06:30:29
15.0,24.0,2022-09-15 06:35:29
15.0,30.0,2022-09-15 06:40:30
15.0,24.0,2022-09-15 06:45:30
15.0,26.0,2022-09-15 06:50:33
16.0,24.0,2022-09-15 06:55:36
15.0,25.0,2022-09-15 07:00:37
16.0,26.0,2022-09-15 07:05:43
16.0,27.0,2022-09-15 07:10:43
16.0,26.0,2022-09-15 07:15:46
17.0,23.0,2022-09-15 07:20:47
19.0,21.0,2022-09-15 07:25:48
19.0,27.0,2022-09-15 07:30:48
22.0,20.0,2022-09-15 07:35:49
26.0,19.0,2022-09-15 07:40:49
27.0,17.0,2022-09-15 07:45:50
28.0,17.0,2022-09-15 07:50:50
30.0,16.0,2022-09-15 07:55:51
30.0,16.0,2022-09-15 08:00:51
30.0,16.0,2022-09-15 08:05:52
31.0,15.0,2022-09-15 08:10:53
31.0,15.0,2022-09-15 08:55:58
31.0,15.0,2022-09-15 09:26:04
31.0,15.0,2022-09-15 09:41:06
30.0,16.0,2022-09-15 09:46:09
30.0,16.0,2022-09-15 09:51:10
31.0,18.0,2022-09-15 09:56:10
29.0,16.0,2022-09-15 10:01:13
29.0,19.0,2022-09-15 10:06:14
30.0,16.0,2022-09-15 10:21:23
30.0,22.0,2022-09-15 10:26:24
30.0,16.0,2022-09-15 10:41:31
30.0,16.0,2022-09-15 10:46:31
28.0,17.0,2022-09-15 10:51:32
30.0,19.0,2022-09-15 10:56:33
30.0,16.0,2022-09-15 11:21:43
30.0,21.0,2022-09-15 11:26:44
27.0,17.0,2022-09-15 11:31:47
27.0,17.0,2022-09-15 11:36:47
25.0,18.0,2022-09-15 11:41:50
25.0,18.0,2022-09-15 11:46:51
23.0,19.0,2022-09-15 11:51:54
23.0,19.0,2022-09-15 11:56:55
23.0,22.0,2022-09-15 12:01:55
22.0,20.0,2022-09-15 12:06:56
22.0,20.0,2022-09-15 12:11:57
23.0,19.0,2022-09-15 12:17:00
23.0,22.0,2022-09-15 12:22:00
24.0,19.0,2022-09-15 12:27:01
24.0,19.0,2022-09-15 12:32:02
23.0,19.0,2022-09-15 12:37:02
22.0,20.0,2022-09-15 12:42:05
22.0,20.0,2022-09-15 12:47:06
22.0,23.0,2022-09-15 12:52:07
22.0,20.0,2022-09-15 12:57:07
24.0,19.0,2022-09-15 13:02:08
24.0,19.0,2022-09-15 13:07:09
23.666666666666668,21.0,2022-09-15 13:12:47
23.333333333333332,23.0,2022-09-15 13:18:25
23.0,25.0,2022-09-15 13:23:28
23.0,21.0,2022-09-15 13:28:28
23.0,24.0,2022-09-15 13:33:29
23.0,19.0,2022-09-15 13:38:30
23.0,19.0,2022-09-15 13:43:30
23.0,19.0,2022-09-15 13:48:31
22.933333333333334,19.066666666666666,2022-09-15 13:54:09
22.866666666666667,19.133333333333333,2022-09-15 13:59:47
22.8,19.2,2022-09-15 14:05:25
22.733333333333334,19.266666666666666,2022-09-15 14:11:03
22.666666666666668,19.333333333333332,2022-09-15 14:16:41
22.6,19.4,2022-09-15 14:22:19
22.533333333333335,19.466666666666665,2022-09-15 14:27:57
22.466666666666665,19.533333333333335,2022-09-15 14:33:35
22.4,19.6,2022-09-15 14:39:13
22.333333333333332,19.666666666666668,2022-09-15 14:44:51
22.266666666666666,19.733333333333334,2022-09-15 14:50:29
22.2,19.8,2022-09-15 14:56:07
22.133333333333333,19.866666666666667,2022-09-15 15:01:45
22.066666666666666,19.933333333333334,2022-09-15 15:07:24
22.0,20.0,2022-09-15 15:12:32
24.0,19.0,2022-09-15 15:17:32
23.0,24.0,2022-09-15 15:22:33
22.0,20.0,2022-09-15 15:27:34
23.0,19.0,2022-09-15 15:32:34
23.0,19.0,2022-09-15 15:37:35
23.0,19.0,2022-09-15 15:42:36
23.0,19.0,2022-09-15 15:47:36
23.0,19.0,2022-09-15 15:52:37
24.0,19.0,2022-09-15 15:57:37
24.0,19.0,2022-09-15 16:02:38
23.0,19.0,2022-09-15 16:07:39
21.0,20.0,2022-09-15 16:12:42
22.0,26.0,2022-09-15 16:17:45
22.0,21.0,2022-09-15 16:22:46
23.0,19.0,2022-09-15 16:27:46
23.0,19.0,2022-09-15 16:32:47
23.0,19.0,2022-09-15 16:37:47
23.0,19.0,2022-09-15 16:42:48
23.0,19.0,2022-09-15 16:47:49
22.0,26.0,2022-09-15 16:52:49
22.0,20.0,2022-09-15 16:57:52
22.0,23.0,2022-09-15 17:02:53
22.0,20.0,2022-09-15 17:07:54
22.0,20.0,2022-09-15 17:12:54
23.0,25.0,2022-09-15 17:17:55
22.0,24.0,2022-09-15 17:22:56
22.0,20.0,2022-09-15 17:27:56
21.0,24.0,2022-09-15 17:32:57
22.0,20.0,2022-09-15 17:37:57
22.0,26.0,2022-09-15 17:43:04
22.0,20.0,2022-09-15 17:47:46
22.0,22.0,2022-09-15 17:52:53
21.0,20.0,2022-09-15 17:58:00
21.0,20.0,2022-09-15 18:03:00
21.0,20.0,2022-09-15 18:08:01
22.0,20.0,2022-09-15 18:13:02
21.0,20.0,2022-09-15 18:18:02
21.0,22.0,2022-09-15 18:23:03
21.0,20.0,2022-09-15 18:28:03
20.0,21.0,2022-09-15 18:33:04
21.0,20.0,2022-09-15 18:38:05
21.0,26.0,2022-09-15 18:43:05
21.0,20.0,2022-09-15 18:48:06
20.0,26.0,2022-09-15 18:53:07
20.0,21.0,2022-09-15 18:58:07
21.0,26.0,2022-09-15 19:03:08
20.0,21.0,2022-09-15 19:08:08
20.0,25.0,2022-09-15 19:13:09
20.0,21.0,2022-09-15 19:18:10
19.0,21.0,2022-09-15 19:23:10
20.0,21.0,2022-09-15 19:28:11
19.0,21.0,2022-09-15 19:33:12
19.0,21.0,2022-09-15 19:38:12
20.0,21.0,2022-09-15 19:43:13
19.0,21.0,2022-09-15 19:48:13
21.0,20.0,2022-09-15 19:53:14
21.0,20.0,2022-09-15 19:58:15
21.0,20.0,2022-09-15 20:03:15
21.0,22.0,2022-09-15 20:08:16
21.0,23.0,2022-09-15 20:13:16
21.0,20.0,2022-09-15 20:18:17
21.0,26.0,2022-09-15 20:23:18
21.0,20.0,2022-09-15 20:28:18
21.0,26.0,2022-09-15 20:33:19
21.0,20.0,2022-09-15 20:38:19
21.0,23.0,2022-09-15 20:43:20
19.0,21.0,2022-09-15 20:48:21
20.0,21.0,2022-09-15 20:53:21
20.0,21.0,2022-09-15 20:58:22
20.0,21.0,2022-09-15 21:03:22
19.0,27.0,2022-09-15 21:08:23
19.0,24.0,2022-09-15 21:13:24
19.0,23.0,2022-09-15 21:23:28
19.0,24.0,2022-09-15 21:28:31
19.0,21.0,2022-09-15 21:33:31
19.0,21.0,2022-09-15 21:38:32
18.0,22.0,2022-09-15 21:43:33
19.0,21.0,2022-09-15 21:48:36
19.0,21.0,2022-09-15 21:53:36
19.0,27.0,2022-09-15 21:58:37
19.0,21.0,2022-09-15 22:03:37
19.0,27.0,2022-09-15 22:08:38
19.0,21.0,2022-09-15 22:13:39
19.0,27.0,2022-09-15 22:18:39
19.0,21.0,2022-09-15 22:23:40
19.0,27.0,2022-09-15 22:28:41
19.0,21.0,2022-09-15 22:33:41
19.0,21.0,2022-09-15 22:38:42
19.0,21.0,2022-09-15 22:43:43
19.0,21.0,2022-09-15 22:48:43
19.0,21.0,2022-09-15 22:53:44
18.0,22.0,2022-09-15 22:58:44
17.0,22.0,2022-09-15 23:03:45
18.0,22.0,2022-09-15 23:08:46
18.0,24.0,2022-09-15 23:13:46
18.0,28.0,2022-09-15 23:18:47
18.0,22.0,2022-09-15 23:23:47
18.0,28.0,2022-09-15 23:28:48
18.0,22.0,2022-09-15 23:33:49
18.0,28.0,2022-09-15 23:38:49
18.0,22.0,2022-09-15 23:43:50
18.0,28.0,2022-09-15 23:48:51
18.0,22.0,2022-09-15 23:53:51
18.0,22.0,2022-09-15 23:58:52
18.0,22.0,2022-09-16 00:03:52
18.0,22.0,2022-09-16 00:08:59
